date,home_team,away_team,home_goals,away_goals
2021-01-23,Udinese,Internazionale,0.0,0.0
2021-01-23,Milan,Atalanta,0.0,3.0
2021-01-24,Juventus,Bologna,2.0,0.0
2021-01-24,Hellas Verona,Napoli,3.0,1.0
2021-01-24,Lazio,Sassuolo,2.0,1.0
2021-01-24,Genoa,Cagliari,1.0,0.0
2021-01-24,Parma,Sampdoria,0.0,2.0
2021-01-29,Torino,Fiorentina,1.0,1.0
2021-01-30,Bologna,Milan,1.0,2.0
2021-01-30,Sampdoria,Juventus,0.0,2.0
2021-01-31,Atalanta,Lazio,1.0,3.0
2021-01-31,Spezia,Udinese,0.0,1.0
2021-01-31,Cagliari,Sassuolo,1.0,1.0
2021-01-31,Crotone,Genoa,0.0,3.0
2021-01-31,Roma,Hellas Verona,3.0,1.0
2021-01-31,Napoli,Parma,2.0,0.0
2021-02-05,Fiorentina,Internazionale,0.0,2.0
2021-02-06,Juventus,Roma,2.0,0.0
2021-02-06,Genoa,Napoli,2.0,1.0
2021-02-06,Sassuolo,Spezia,1.0,2.0
2021-02-06,Atalanta,Torino,3.0,3.0
2021-02-07,Benevento,Sampdoria,1.0,1.0
2021-02-07,Milan,Crotone,4.0,0.0
2021-02-07,Udinese,Hellas Verona,2.0,0.0
2021-02-07,Lazio,Cagliari,1.0,0.0
2021-02-07,Parma,Bologna,0.0,3.0
2021-02-12,Bologna,Benevento,1.0,1.0
2021-02-13,Torino,Genoa,0.0,0.0
2021-02-13,Spezia,Milan,2.0,0.0
2021-02-13,Napoli,Juventus,1.0,0.0
2021-02-14,Sampdoria,Fiorentina,2.0,1.0
2021-02-14,Cagliari,Atalanta,0.0,1.0
2021-02-14,Roma,Udinese,3.0,0.0
2021-02-14,Crotone,Sassuolo,1.0,2.0
2021-02-15,Hellas Verona,Parma,2.0,1.0
2021-02-19,Fiorentina,Spezia,3.0,0.0
2021-02-19,Cagliari,Torino,0.0,1.0
2021-02-20,Lazio,Sampdoria,1.0,0.0
2021-02-20,Genoa,Hellas Verona,2.0,2.0
2021-02-20,Sassuolo,Bologna,1.0,1.0
2021-02-21,Parma,Udinese,2.0,2.0
2021-02-21,Atalanta,Napoli,4.0,2.0
2021-02-21,Benevento,Roma,0.0,0.0
2021-02-21,Milan,Internazionale,0.0,3.0
2021-02-22,Juventus,Crotone,3.0,0.0
2021-02-27,Bologna,Lazio,2.0,0.0
2021-02-27,Spezia,Parma,2.0,2.0
2021-02-27,Hellas Verona,Juventus,1.0,1.0
2021-02-28,Roma,Milan,1.0,2.0
2021-02-28,Crotone,Cagliari,0.0,2.0
2021-02-28,Udinese,Fiorentina,1.0,0.0
2021-02-28,Napoli,Benevento,2.0,0.0
2021-02-28,Sampdoria,Atalanta,0.0,2.0
2021-03-02,Juventus,Spezia,3.0,0.0
2021-03-03,Sassuolo,Napoli,3.0,3.0
2021-03-03,Atalanta,Crotone,5.0,1.0
2021-03-03,Fiorentina,Roma,1.0,2.0
2021-03-03,Benevento,Hellas Verona,0.0,3.0
2021-03-03,Cagliari,Bologna,1.0,0.0
2021-03-03,Genoa,Sampdoria,1.0,1.0
2021-03-03,Milan,Udinese,1.0,1.0
2021-03-04,Parma,Internazionale,1.0,2.0
2021-03-06,Spezia,Benevento,1.0,1.0
2021-03-06,Juventus,Lazio,3.0,1.0
2021-03-06,Udinese,Sassuolo,2.0,0.0
2021-03-07,Fiorentina,Parma,3.0,3.0
2021-03-07,Hellas Verona,Milan,0.0,2.0
2021-03-07,Napoli,Bologna,3.0,1.0
2021-03-07,Sampdoria,Cagliari,2.0,2.0
2021-03-07,Roma,Genoa,1.0,0.0
2021-03-07,Crotone,Torino,4.0,2.0
2021-03-12,Lazio,Crotone,3.0,2.0
2021-03-12,Atalanta,Spezia,3.0,1.0
2021-03-13,Genoa,Udinese,1.0,1.0
2021-03-13,Sassuolo,Hellas Verona,3.0,2.0
2021-03-13,Benevento,Fiorentina,1.0,4.0
2021-03-14,Torino,Internazionale,1.0,2.0
2021-03-14,Milan,Napoli,0.0,1.0
2021-03-14,Parma,Roma,2.0,0.0
2021-03-14,Bologna,Sampdoria,3.0,1.0
2021-03-14,Cagliari,Juventus,1.0,3.0
2021-03-17,Torino,Sassuolo,3.0,2.0
2021-03-19,Parma,Genoa,1.0,2.0
2021-03-20,Spezia,Cagliari,2.0,1.0
2021-03-20,Crotone,Bologna,2.0,3.0
2021-03-21,Roma,Napoli,0.0,2.0
2021-03-21,Sampdoria,Torino,1.0,0.0
2021-03-21,Udinese,Lazio,0.0,1.0
2021-03-21,Hellas Verona,Atalanta,0.0,2.0
2021-03-21,Juventus,Benevento,0.0,1.0
2021-03-21,Fiorentina,Milan,2.0,3.0
2021-04-03,Lazio,Spezia,2.0,1.0
2021-04-03,Napoli,Crotone,4.0,3.0
2021-04-03,Torino,Juventus,2.0,2.0
2021-04-03,Atalanta,Udinese,3.0,2.0
2021-04-03,Bologna,Internazionale,0.0,1.0
